frequency,power_spectrum
0.0,0.4744218721576856
0.5,0.41647568885665487
1.0,0.09085242507975562
1.5,0.14677871033121542
2.0,0.028192035170123576
2.5,0.0689274354295619
3.0,0.02553770348303032
3.5,0.1093051580117763
4.0,0.057943636282210075
4.5,0.0412123766853588
5.0,0.05271292081653274
5.5,0.01796402101174976
6.0,0.015127904713986843
6.5,0.006842335005653245
7.0,0.010866594533980239
7.5,0.012161763381956904
8.0,0.022844109918562384
8.5,0.03691703713424538
9.0,0.02048844047046017
9.5,0.027420038110251024
10.0,0.017966778874509065
10.5,0.02572261080652004
11.0,0.031065508288425782
11.5,0.022599696898231582
12.0,0.03712692125976916
12.5,0.02376118281702555
13.0,0.03446957181011776
13.5,0.03247027585788475
14.0,0.032935478180118445
14.5,0.04337763680949636
15.0,0.025580594495510117
15.5,0.04256284673571787
16.0,0.032520967621821543
16.5,0.035690969711120596
17.0,0.03374549063412437
17.5,0.021900343386382304
18.0,0.03838251131059321
18.5,0.022403274940050812
19.0,0.02947344303756252
19.5,0.026639895048700565
20.0,0.023078168078452314
20.5,0.032711121083200796
21.0,0.018735831819395057
21.5,0.028871885459207405
22.0,0.017644068641380056
22.5,0.01578075126798953
23.0,0.018517158798344487
23.5,0.013060703640764098
24.0,0.021335127982691812
24.5,0.011993867426944903
25.0,0.015571658925775094
25.5,0.013537623363695201
26.0,0.011760839744253586
26.5,0.018147439494786765
27.0,0.011523909772925315
27.5,0.015133772441513076
28.0,0.010153523120529247
28.5,0.01086796835045496
29.0,0.01067233926876859
29.5,0.006720755284207046
30.0,0.009824795521971756
30.5,0.005499124511981983
31.0,0.0074927527244789995
31.5,0.0065202655817115035
32.0,0.006546889752633602
32.5,0.009695682548052907
33.0,0.006096342266245865
33.5,0.009435409065781657
34.0,0.007062669509411133
34.5,0.008396711830469751
35.0,0.007687926275607992
35.5,0.004193030427661446
36.0,0.0070340952646189055
36.5,0.005438190039911378
37.0,0.009931351493135452
37.5,0.008654209595896925
38.0,0.007118554873221978
38.5,0.008077109955964397
39.0,0.004387832145091869
39.5,0.009151056214036687
40.0,0.007079999246358903
40.5,0.0073658106006256625
41.0,0.008220606782770314
41.5,0.0065328716712921365
42.0,0.00871768669725248
42.5,0.004466266133563778
43.0,0.00710543471847758
43.5,0.006384873622693758
44.0,0.004874874300765604
44.5,0.007393633307858736
45.0,0.0040393653716434014
45.5,0.004048704872127698
46.0,0.003324527336265432
46.5,0.00437760674521392
47.0,0.003085182472342153
47.5,0.0012572647562431381
48.0,0.0030952655358886688
48.5,0.0018588080969906369
49.0,0.0014618948451579133
49.5,0.0007465457749146995
50.0,0.00042353622531691873
50.5,0.0007473850193604933
51.0,0.0004095600778080685
51.5,0.0011560003183016588
52.0,0.000672324081943205
52.5,0.0004059591646870465
53.0,0.0002830069273946191
53.5,0.00041626316061372604
54.0,0.0006400590747682735
54.5,0.00029300327701575014
55.0,0.00041398986417787127
55.5,0.00022678806196343586
56.0,0.00024715969626485
56.5,0.00025508485781659064
57.0,6.418030076857842e-06
57.5,0.0002761571715323839
58.0,0.0003895480795870447
58.5,0.00038899792027049016
59.0,0.0005557551106706941
59.5,0.00011536670196929517
60.0,1.2439323751444894e-05
60.5,9.887427772230059e-05
61.0,2.7079256975886753e-05
61.5,5.504575009172614e-06
62.0,2.534647669961798e-06
62.5,8.402794744319534e-06
63.0,0.0001578770341404922
63.5,9.088370410882878e-05
64.0,7.996715716529097e-05
64.5,7.04986358443605e-05
65.0,6.281668258114984e-06
65.5,1.6717808066179243e-05
66.0,9.005999243026367e-05
66.5,0.0001930574878898739
67.0,0.000423620785331539
67.5,6.66378790884503e-05
68.0,0.00014107373344548552
68.5,0.0006239190578199411
69.0,0.0008305158905036904
69.5,0.0005504807449035285
70.0,0.0001050465311262905
70.5,0.00013962880119492547
71.0,0.0003161904601710128
71.5,0.00039279793997443034
72.0,0.000622142162180137
72.5,0.00015166375803969733
73.0,0.00018327405420677346
73.5,0.0005515953188123931
74.0,0.00022340710547758225
74.5,0.00022230493960056667
75.0,0.0001353496424058572
75.5,5.8881159568616235e-05
76.0,6.146301993830387e-05
76.5,5.672208770450392e-05
77.0,9.606564298708568e-06
77.5,3.2353974535262365e-07
78.0,0.0001191234489357504
78.5,0.00024966810890100376
79.0,0.00011398997228758632
79.5,2.835059681397298e-05
80.0,0.00013576763559870815
80.5,0.00020380976357114037
81.0,0.00010562218531152817
81.5,0.00038432233713117355
82.0,0.0002408801801865509
82.5,0.0003080808291376379
83.0,0.0004991791598984924
83.5,0.0001340681794323318
84.0,0.00020593479935188098
84.5,0.0005247581928707462
85.0,0.00035355176848589316
85.5,6.514475779611453e-05
86.0,0.00021507605076884944
86.5,2.5588633564214197e-05
87.0,1.909312511001174e-05
87.5,1.1302782423417347e-05
88.0,0.00026189303456520104
88.5,0.0005661607751723443
89.0,0.00037913700941081565
89.5,5.3650645471479715e-05
90.0,9.715557010596061e-05
90.5,0.0005778450043868868
91.0,0.00032966249363980995
91.5,1.895951455767572e-05
92.0,0.00012744998096791396
92.5,5.729757145799859e-05
93.0,0.00025788398039560306
93.5,0.00012678926333150524
94.0,3.068048541719963e-05
94.5,0.00023025001706179857
95.0,0.00026937349319510856
95.5,0.0003242705169452986
96.0,0.0003147040048778058
96.5,0.0002669896050701288
97.0,0.000354567058973628
97.5,0.0004752135560168419
98.0,0.0003792104165489663
98.5,7.251939133563538e-06
99.0,0.00011367826159573079
99.5,4.122626341206598e-05
100.0,9.296513764116493e-06
100.5,1.9456304730074072e-05
101.0,0.00026721750582096507
101.5,0.0004279484740151923
102.0,0.0001444313861182332
102.5,0.00011400282299973012
103.0,9.257665704607892e-05
103.5,8.955777764500946e-05
104.0,0.0001503548771588136
104.5,0.00013268572850312304
105.0,0.00014153299611421174
105.5,0.0005305127271421882
106.0,0.0003869674136433238
106.5,8.409720029125277e-05
107.0,3.3563399620417646e-05
107.5,0.0001066274120856115
108.0,0.000273298895610653
108.5,0.00012806116628650955
109.0,0.00033628793362264464
109.5,0.00038828452435829346
110.0,0.0003970692847726098
110.5,0.00021458482349280198
111.0,0.0002471139489357555
111.5,0.0002814697513428761
112.0,0.00022356747034799835
112.5,0.00022574338906437754
113.0,0.00036518127292157863
113.5,0.0005685709992656364
114.0,3.471377195545777e-05
114.5,8.368205522932272e-05
115.0,0.0005216214009013179
115.5,0.0005288639289313853
116.0,0.00016958367534344198
116.5,6.827830580577991e-05
117.0,6.466134711883835e-05
117.5,0.00014774899226715915
118.0,6.944980226738996e-05
118.5,0.00011539275409545335
119.0,3.2930480850054664e-05
119.5,0.000460543686295858
120.0,0.0005312425084491082
120.5,0.0005039014398591696
121.0,0.0005848621729727774
121.5,0.00013229117373839597
122.0,5.4265732460049674e-05
122.5,4.759610946976364e-07
123.0,4.8599526954112236e-05
123.5,0.00017385077934606994
124.0,7.20546434953696e-05
124.5,9.119417843445278e-05
